type,provider,workspaceName,name,category,technology,Supported,percentage,issues.IAC.TOTAL,issues.SCA.TOTAL,issues.SECRETS.TOTAL,issues.SAST.TOTAL,repositorySize,url,isArchived,defaultBranch,totalCommitsCount,contributorsCount,contributors,detectedDate,lastUpdated,issues.SCA.CRITICAL,issues.SCA.HIGH,issues.SCA.MEDIUM,issues.SCA.LOW,issues.SCA.INFO,issues.IAC.CRITICAL,issues.IAC.HIGH,issues.IAC.MEDIUM,issues.IAC.LOW,issues.IAC.INFO,issues.SECRETS.CRITICAL,issues.SECRETS.HIGH,issues.SECRETS.MEDIUM,issues.SECRETS.LOW,issues.SECRETS.INFO,issues.SAST.CRITICAL,issues.SAST.HIGH,issues.SAST.MEDIUM,issues.SAST.LOW,issues.SAST.INFO
public,Github,Test,utd-vuln-code,Programming,Dockerfile,Yes,9.38,356,816,5,nan,26526,https://github.com/test/utd-vuln-code,FALSE,main,5,nan,test,2023-11-08T13:03:44.357Z,2023-11-09T17:49:49.000Z,40,202,323,251,,6,25,72,251,2,,5,,,,nan,nan,nan,nan,nan
public,Github,test,utd-vuln-code,Configuration,YAML,Yes,3.13,356,816,5,nan,26526,https://github.com/test/utd-vuln-code,FALSE,main,5,nan,test,2023-11-08T13:03:44.357Z,2023-11-09T17:49:49.000Z,40,202,323,251,,6,25,72,251,2,,5,,,,nan,nan,nan,nan,nan
public,Github,test,utd-vuln-code,Configuration,IgnoreList,Yes,1.56,356,816,5,nan,26526,https://github.com/test/utd-vuln-code,FALSE,main,5,nan,test,2023-11-08T13:03:44.357Z,2023-11-09T17:49:49.000Z,40,202,323,251,,6,25,72,251,2,,5,,,,nan,nan,nan,nan,nan
public,Github,test,utd-vuln-code,Devops,HCL,Yes,64.06,356,816,5,nan,26526,https://github.com/test/utd-vuln-code,FALSE,main,5,nan,test,2023-11-08T13:03:44.357Z,2023-11-09T17:49:49.000Z,40,202,323,251,,6,25,72,251,2,,5,,,,nan,nan,nan,nan,nan
public,Github,test,utd-vuln-code,Programming,Shell,Yes,1.56,356,816,5,nan,26526,https://github.com/test/utd-vuln-code,FALSE,main,5,nan,test,2023-11-08T13:03:44.357Z,2023-11-09T17:49:49.000Z,40,202,323,251,,6,25,72,251,2,,5,,,,nan,nan,nan,nan,nan
public,Github,test,utd-vuln-code,Markup,HTML,Yes,1.56,356,816,5,nan,26526,https://github.com/test/utd-vuln-code,FALSE,main,5,nan,test,2023-11-08T13:03:44.357Z,2023-11-09T17:49:49.000Z,40,202,323,251,,6,25,72,251,2,,5,,,,nan,nan,nan,nan,nan
public,Github,test,utd-vuln-code,Devops,CloudFormation,Yes,1.56,356,816,5,nan,26526,https://github.com/test/utd-vuln-code,FALSE,main,5,nan,test,2023-11-08T13:03:44.357Z,2023-11-09T17:49:49.000Z,40,202,323,251,,6,25,72,251,2,,5,,,,nan,nan,nan,nan,nan
public,Github,test,utd-vuln-code,Devops,Kubernetes,Yes,9.38,356,816,5,nan,26526,https://github.com/test/utd-vuln-code,FALSE,main,5,nan,test,2023-11-08T13:03:44.357Z,2023-11-09T17:49:49.000Z,40,202,323,251,,6,25,72,251,2,,5,,,,nan,nan,nan,nan,nan
public,Github,test,utd-vuln-code,PackageManager,GOPackageManager,Yes,4.69,356,816,5,nan,26526,https://github.com/test/utd-vuln-code,FALSE,main,5,nan,test,2023-11-08T13:03:44.357Z,2023-11-09T17:49:49.000Z,40,202,323,251,,6,25,72,251,2,,5,,,,nan,nan,nan,nan,nan
public,Github,test,utd-vuln-code,Programming,Go,No,3.13,356,816,5,nan,26526,https://github.com/test/utd-vuln-code,FALSE,main,5,nan,test,2023-11-08T13:03:44.357Z,2023-11-09T17:49:49.000Z,40,202,323,251,,6,25,72,251,2,,5,,,,nan,nan,nan,nan,nan
public,Github,test,hellocloud,CICD,GitHub,Yes,5,25,21,0,nan,2,https://github.com/test/hellocloud,FALSE,main,2,nan,test,2023-11-07T08:12:38.110Z,2023-11-07T07:05:40.000Z,,,3,18,,,,3,22,,,,,,,nan,nan,nan,nan,nan
public,Github,test,hellocloud,Devops,Kubernetes,Yes,5,25,21,0,nan,2,https://github.com/test/hellocloud,FALSE,main,2,nan,test,2023-11-07T08:12:38.110Z,2023-11-07T07:05:40.000Z,,,3,18,,,,3,22,,,,,,,nan,nan,nan,nan,nan
